year,fips,naics,emp
2014,01103,22----,63
2014,01103,23----,3243
2014,01103,31----,11511
2014,01103,42----,2186
2014,01103,44----,5592
2014,01103,48----,1335
2014,01103,51----,315
2014,01103,52----,1398
2014,01103,53----,437
2014,01103,54----,1484
2014,01103,55----,577
2014,01103,56----,2204
2014,01103,61----,148
2014,01103,62----,5731
2014,01103,71----,295
2014,01103,72----,3983
2014,01103,81----,1960
2014,01103,99----,3
2014,01105,11----,2
2014,01105,22----,9
2014,01105,23----,44
2014,01105,31----,640
2014,01105,42----,42
2014,01105,44----,198
2014,01105,48----,19
2014,01105,52----,61
2014,01105,53----,19
2014,01105,54----,18
2014,01105,61----,272
2014,01105,62----,151
2014,01105,72----,93
2014,01105,81----,85
2014,01107,11----,104
2014,01107,21----,9
2014,01107,22----,59
2014,01107,23----,269
2014,01107,31----,575
2014,01107,42----,63
2014,01107,44----,405
2014,01107,48----,51
2014,01107,51----,19
2014,01107,52----,150
2014,01107,53----,9
2014,01107,54----,97
2014,01107,55----,3
2014,01107,56----,9
2014,01107,61----,59
2014,01107,62----,556
2014,01107,72----,154
2014,01107,81----,151
2014,01109,11----,95
2014,01109,22----,59
2014,01109,23----,530
2014,01109,31----,1619
2014,01109,42----,484
2014,01109,44----,1465
2014,01109,48----,2182
2014,01109,51----,221
2014,01109,52----,358
2014,01109,53----,93
2014,01109,54----,749
2014,01109,55----,59
2014,01109,56----,206
2014,01109,61----,59
2014,01109,62----,1067
2014,01109,71----,47
2014,01109,72----,1414
2014,01109,81----,349
2014,01111,11----,68
2014,01111,21----,44
2014,01111,22----,59
2014,01111,23----,107
2014,01111,31----,1032
2014,01111,42----,52
2014,01111,44----,712
2014,01111,48----,155
2014,01111,51----,41
2014,01111,52----,154
2014,01111,53----,19
2014,01111,54----,47
2014,01111,56----,8
2014,01111,61----,27
2014,01111,62----,572
2014,01111,72----,297
2014,01111,81----,161
2014,01113,11----,37
2014,01113,21----,9
2014,01113,22----,59
2014,01113,23----,490
2014,01113,31----,3337
2014,01113,42----,223
2014,01113,44----,1945
2014,01113,48----,160
2014,01113,51----,59
2014,01113,52----,356
2014,01113,53----,148
2014,01113,54----,194
2014,01113,55----,59
2014,01113,56----,250
2014,01113,61----,81
2014,01113,62----,1491
2014,01113,71----,22
2014,01113,72----,1543
2014,01113,81----,629
2014,01113,99----,2
2014,01115,11----,9
2014,01115,21----,9
2014,01115,22----,59
2014,01115,23----,977
2014,01115,31----,2953
2014,01115,42----,1236
2014,01115,44----,2799
2014,01115,48----,246
2014,01115,51----,137
2014,01115,52----,481
2014,01115,53----,106
2014,01115,54----,613
2014,01115,55----,67
2014,01115,56----,1207
2014,01115,61----,23
2014,01115,62----,1842
2014,01115,71----,19
2014,01115,72----,1967
2014,01115,81----,855
2014,01117,11----,233
2014,01117,21----,326
2014,01117,22----,2159
2014,01117,23----,4598
2014,01117,31----,5568
2014,01117,42----,5684
2014,01117,44----,8515
2014,01117,48----,1239
2014,01117,51----,4817
2014,01117,52----,9816
2014,01117,53----,1262
2014,01117,54----,5122
2014,01117,55----,1427
2014,01117,56----,8468
2014,01117,61----,795
2014,01117,62----,7003
2014,01117,71----,1265
2014,01117,72----,6861
2014,01117,81----,4064
2014,01117,99----,9
2014,01119,11----,48
2014,01119,21----,32
2014,01119,22----,9
2014,01119,23----,377
2014,01119,31----,181
2014,01119,42----,129
2014,01119,44----,285
2014,01119,48----,738
2014,01119,51----,9
2014,01119,52----,66
2014,01119,53----,48
2014,01119,54----,174
2014,01119,56----,101
2014,01119,61----,59
2014,01119,62----,393
2014,01119,72----,333
2014,01119,81----,70
2014,01121,11----,19
2014,01121,21----,384
2014,01121,22----,184
2014,01121,23----,690
2014,01121,31----,8736
2014,01121,42----,606
2014,01121,44----,2635
2014,01121,48----,1271
2014,01121,51----,141
2014,01121,52----,484
2014,01121,53----,239
2014,01121,54----,440
2014,01121,55----,59
2014,01121,56----,2505
2014,01121,61----,239
2014,01121,62----,2797
2014,01121,71----,153
2014,01121,72----,2076
2014,01121,81----,639
2014,01121,99----,1
2014,01123,11----,74
2014,01123,21----,9
2014,01123,22----,59
2014,01123,23----,385
2014,01123,31----,2164
2014,01123,42----,137
2014,01123,44----,1482
2014,01123,48----,420
2014,01123,51----,108
2014,01123,52----,261
2014,01123,53----,99
2014,01123,54----,214
2014,01123,55----,156
2014,01123,56----,1287
2014,01123,61----,69
2014,01123,62----,2226
2014,01123,71----,174
2014,01123,72----,881
2014,01123,81----,457
2014,01123,99----,1
2014,01125,11----,234
2014,01125,21----,1892
2014,01125,22----,374
2014,01125,23----,4232
2014,01125,31----,13183
2014,01125,42----,2178
2014,01125,44----,10158
2014,01125,48----,3202
2014,01125,51----,1895
2014,01125,52----,1788
2014,01125,53----,1547
2014,01125,54----,2261
2014,01125,55----,488
2014,01125,56----,4212
2014,01125,61----,819
2014,01125,62----,11823
2014,01125,71----,428
2014,01125,72----,9673
2014,01125,81----,3398
2014,01127,11----,161
2014,01127,21----,601
2014,01127,22----,566
2014,01127,23----,477
2014,01127,31----,1894
2014,01127,42----,538
2014,01127,44----,3349
2014,01127,48----,307
2014,01127,51----,106
2014,01127,52----,491
2014,01127,53----,190
2014,01127,54----,353
2014,01127,55----,59
2014,01127,56----,152
2014,01127,61----,79
2014,01127,62----,3198
2014,01127,71----,87
2014,01127,72----,1450
2014,01127,81----,888
2014,01129,11----,181
2014,01129,22----,174
2014,01129,23----,88
2014,01129,31----,3811
2014,01129,42----,59
2014,01129,44----,277
2014,01129,48----,191
2014,01129,51----,59
2014,01129,52----,62
2014,01129,53----,9
2014,01129,54----,47
2014,01129,62----,284
2014,01129,72----,61
2014,01129,81----,102
2014,01131,11----,124
2014,01131,22----,9
2014,01131,23----,103
2014,01131,31----,417
2014,01131,42----,45
2014,01131,44----,270
2014,01131,48----,59
2014,01131,51----,59
2014,01131,52----,90
2014,01131,53----,9
2014,01131,54----,20
2014,01131,56----,9
2014,01131,61----,45
2014,01131,62----,260
2014,01131,72----,150
2014,01131,81----,71
2014,01133,11----,22
2014,01133,21----,55
2014,01133,22----,59
2014,01133,23----,129
2014,01133,31----,3094
2014,01133,42----,239
2014,01133,44----,822
2014,01133,48----,168
2014,01133,51----,59
2014,01133,52----,174
2014,01133,53----,19
2014,01133,54----,83
2014,01133,55----,174
2014,01133,56----,374
2014,01133,62----,712
2014,01133,71----,34
2014,01133,72----,340
2014,01133,81----,208
2014,02013,11----,19
2014,02013,22----,19
2014,02013,31----,2069
2014,02013,42----,9
2014,02013,44----,99
2014,02013,48----,85
2014,02013,51----,9
2014,02013,52----,9
2014,02013,53----,19
2014,02013,56----,9
2014,02013,61----,9
2014,02013,62----,78
2014,02013,71----,9
2014,02013,72----,34
2014,02013,81----,19
2014,02016,11----,181
2014,02016,21----,9
2014,02016,22----,9
2014,02016,23----,19
2014,02016,31----,3444
2014,02016,42----,121
2014,02016,44----,150
2014,02016,48----,423
2014,02016,51----,19
2014,02016,52----,19
2014,02016,53----,28
2014,02016,54----,9
2014,02016,56----,19
2014,02016,62----,108
2014,02016,71----,9
2014,02016,72----,118
2014,02016,81----,48
2014,02020,11----,86
2014,02020,21----,6935
2014,02020,22----,640
2014,02020,23----,10985
2014,02020,31----,1825
2014,02020,42----,6382
2014,02020,44----,15441
2014,02020,48----,10674
2014,02020,51----,4670
2014,02020,52----,4911
2014,02020,53----,2426
2014,02020,54----,14718
2014,02020,55----,5646
2014,02020,56----,13036
2014,02020,61----,1373
